epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1987.59,0.52265,0.45628,0.83789,0.99548,0.99888,0.995,0.88745,0.45827,0.39639,0.82631,0.000990125,0.000990125,0.000990125
44,2033.48,0.52936,0.46023,0.83479,0.99525,1,0.995,0.87251,0.48205,0.40764,0.8291,0.000983938,0.000983938,0.000983938
45,2079.46,0.53606,0.4839,0.85078,0.99245,1,0.995,0.87632,0.4696,0.40103,0.83034,0.00097775,0.00097775,0.00097775
46,2126.27,0.5153,0.45055,0.84899,0.99576,0.99924,0.995,0.87453,0.46563,0.39349,0.83437,0.000971562,0.000971562,0.000971562
47,2174.12,0.51329,0.44673,0.84371,0.99637,1,0.995,0.88638,0.45436,0.38008,0.82969,0.000965375,0.000965375,0.000965375
48,2219.64,0.49591,0.43066,0.82734,0.9955,0.99965,0.995,0.8769,0.44944,0.38546,0.82728,0.000959187,0.000959187,0.000959187
49,2265.31,0.50799,0.43975,0.82839,0.99514,0.99897,0.995,0.88206,0.47626,0.3801,0.83076,0.000953,0.000953,0.000953
50,2313.11,0.50877,0.42994,0.83292,0.9976,0.99982,0.995,0.87125,0.46331,0.36377,0.82866,0.000946812,0.000946812,0.000946812
51,2365.83,0.50632,0.43353,0.82908,0.99698,1,0.995,0.87904,0.47847,0.3715,0.8288,0.000940625,0.000940625,0.000940625
52,2416.59,0.53556,0.42556,0.84105,0.99677,1,0.995,0.88627,0.45076,0.37339,0.82713,0.000934438,0.000934438,0.000934438
53,2467.35,0.54157,0.44302,0.84251,0.99551,0.99899,0.995,0.87922,0.46718,0.37369,0.83015,0.00092825,0.00092825,0.00092825
54,2518.52,0.51155,0.43265,0.84639,0.99694,0.99967,0.995,0.88978,0.45086,0.34483,0.82564,0.000922063,0.000922063,0.000922063
55,2567.61,0.4907,0.42159,0.83078,0.99453,0.99973,0.995,0.8838,0.46447,0.35369,0.82607,0.000915875,0.000915875,0.000915875
56,2617.93,0.52275,0.41811,0.83342,0.997,1,0.995,0.8848,0.45477,0.35751,0.82466,0.000909688,0.000909688,0.000909688
57,2668.08,0.49497,0.42037,0.8405,0.99656,1,0.995,0.89171,0.44484,0.34403,0.82506,0.0009035,0.0009035,0.0009035
58,2717.56,0.46893,0.40981,0.83054,0.99647,0.99876,0.995,0.89666,0.43274,0.33452,0.82322,0.000897313,0.000897313,0.000897313
59,2767.29,0.46933,0.39745,0.81672,0.99769,1,0.995,0.8905,0.44499,0.34382,0.82298,0.000891125,0.000891125,0.000891125
60,2815.82,0.49146,0.40472,0.84286,0.99837,0.99968,0.995,0.88909,0.4451,0.33424,0.82341,0.000884938,0.000884938,0.000884938
61,2865.76,0.48549,0.40275,0.83643,0.99721,1,0.995,0.8763,0.48206,0.34552,0.82848,0.00087875,0.00087875,0.00087875
62,2915.73,0.48218,0.38585,0.8302,0.99728,1,0.995,0.88756,0.44924,0.3248,0.82618,0.000872563,0.000872563,0.000872563
63,2965.02,0.49352,0.38717,0.82398,0.99803,1,0.995,0.88126,0.45852,0.32748,0.82513,0.000866375,0.000866375,0.000866375
64,3013.12,0.49245,0.38146,0.83349,0.99775,1,0.995,0.89226,0.44099,0.32409,0.82402,0.000860188,0.000860188,0.000860188
65,3061.23,0.47922,0.3863,0.8257,0.9959,1,0.995,0.8891,0.47772,0.34174,0.82742,0.000854,0.000854,0.000854
66,3110.7,0.47628,0.38838,0.82988,0.99653,0.99899,0.995,0.8924,0.42678,0.32594,0.82219,0.000847813,0.000847813,0.000847813
67,3162.31,0.46153,0.36887,0.82597,0.99728,1,0.995,0.89461,0.42753,0.32035,0.82202,0.000841625,0.000841625,0.000841625
68,3210.82,0.47892,0.37575,0.82653,0.99671,1,0.995,0.89681,0.42361,0.32405,0.82147,0.000835438,0.000835438,0.000835438
69,17874.4,0.47057,0.37273,0.83287,0.99816,0.99896,0.995,0.89358,0.43367,0.32772,0.82271,0.00082925,0.00082925,0.00082925
70,17936.4,0.48006,0.37,0.82444,0.99806,1,0.995,0.89343,0.43535,0.32936,0.82346,0.000823063,0.000823063,0.000823063
71,18000,0.47278,0.36724,0.82759,0.99672,0.99972,0.995,0.8887,0.44099,0.31417,0.82381,0.000816875,0.000816875,0.000816875
72,18130.6,0.47811,0.36573,0.82392,0.99597,1,0.995,0.88054,0.45769,0.31668,0.82959,0.000810688,0.000810688,0.000810688
73,18239.2,0.47244,0.36309,0.82334,0.99676,0.99935,0.995,0.88442,0.44294,0.3158,0.82363,0.0008045,0.0008045,0.0008045
74,18333.2,0.46668,0.37132,0.83106,0.99393,0.99956,0.995,0.88979,0.43592,0.32041,0.8236,0.000798313,0.000798313,0.000798313
75,18397.7,0.48238,0.36887,0.8341,0.99282,0.99857,0.995,0.88436,0.44242,0.31531,0.82287,0.000792125,0.000792125,0.000792125
76,18462,0.48471,0.36201,0.83366,0.99713,1,0.995,0.89096,0.43817,0.30863,0.82139,0.000785938,0.000785938,0.000785938
77,18530.5,0.46481,0.36106,0.82966,0.99685,1,0.995,0.8919,0.43927,0.31702,0.82702,0.00077975,0.00077975,0.00077975
78,18633.3,0.46856,0.3567,0.8223,0.99831,1,0.995,0.89506,0.4231,0.30686,0.82193,0.000773563,0.000773563,0.000773563
79,18705.5,0.45146,0.35026,0.83194,0.99574,0.99516,0.995,0.89558,0.42022,0.31925,0.82297,0.000767375,0.000767375,0.000767375
80,18802.9,0.46681,0.36174,0.81905,0.99811,1,0.995,0.88963,0.42924,0.31414,0.82449,0.000761188,0.000761188,0.000761188
81,18881.6,0.46859,0.35928,0.82769,0.99866,1,0.995,0.88905,0.43234,0.30696,0.82392,0.000755,0.000755,0.000755
82,18948,0.46764,0.35159,0.82211,0.99756,1,0.995,0.88931,0.42751,0.31047,0.82261,0.000748813,0.000748813,0.000748813
83,19009.7,0.44865,0.34207,0.81789,0.99765,1,0.995,0.88789,0.43413,0.30219,0.82402,0.000742625,0.000742625,0.000742625
84,19072.8,0.46273,0.35623,0.82732,0.99694,1,0.995,0.89116,0.43041,0.29701,0.82223,0.000736438,0.000736438,0.000736438
85,19136.9,0.45602,0.3497,0.82954,0.99787,1,0.995,0.90037,0.42511,0.30414,0.82096,0.00073025,0.00073025,0.00073025
86,19201.6,0.45919,0.34451,0.82582,0.99742,1,0.995,0.88526,0.44759,0.30319,0.82432,0.000724062,0.000724062,0.000724062
87,19299,0.46443,0.34932,0.82898,0.99715,1,0.995,0.88765,0.45031,0.31894,0.82451,0.000717875,0.000717875,0.000717875
88,19393.7,0.46332,0.35258,0.82432,0.99827,1,0.995,0.88445,0.43148,0.31031,0.82118,0.000711687,0.000711687,0.000711687
89,19458.6,0.46344,0.36079,0.83658,0.99786,1,0.995,0.88827,0.43082,0.29025,0.81999,0.0007055,0.0007055,0.0007055
90,19519.3,0.44534,0.33974,0.81786,0.99804,1,0.995,0.89694,0.42885,0.28512,0.81913,0.000699312,0.000699312,0.000699312
91,19582.2,0.43723,0.35098,0.81941,0.99759,1,0.995,0.88687,0.43326,0.28217,0.8209,0.000693125,0.000693125,0.000693125
92,19647,0.46193,0.33825,0.82282,0.9978,1,0.995,0.89458,0.431,0.28409,0.82176,0.000686937,0.000686937,0.000686937
93,19709.8,0.44565,0.34095,0.82069,0.99696,1,0.995,0.89675,0.43599,0.28482,0.82287,0.00068075,0.00068075,0.00068075
