epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1841.73,0.63082,0.49534,1.01892,0.96088,0.92019,0.97388,0.83544,0.58331,0.4968,0.935,0.000660045,0.000660045,0.000660045
43,1884.6,0.62888,0.49258,1.03718,0.98029,0.93383,0.97835,0.8467,0.54568,0.47701,0.93486,0.000649046,0.000649046,0.000649046
44,1928.35,0.62568,0.51998,1.04138,0.94726,0.92757,0.97048,0.84004,0.593,0.49387,0.97465,0.000638047,0.000638047,0.000638047
45,1972.87,0.60669,0.51075,1.01072,0.95192,0.92019,0.98045,0.85051,0.53,0.4795,0.92311,0.000627048,0.000627048,0.000627048
46,2018.33,0.59306,0.46939,1.00494,0.97018,0.91648,0.97611,0.85125,0.53031,0.47359,0.90711,0.000616049,0.000616049,0.000616049
47,2061.55,0.61422,0.49749,1.01756,0.94163,0.93897,0.9703,0.82942,0.54551,0.48589,0.91183,0.000605051,0.000605051,0.000605051
48,2104.6,0.61856,0.47557,1.03042,0.9797,0.90625,0.97109,0.84388,0.526,0.46588,0.90732,0.000594052,0.000594052,0.000594052
49,2147.57,0.59005,0.47196,1.00714,0.94854,0.95305,0.98377,0.85674,0.56399,0.46166,0.93893,0.000583053,0.000583053,0.000583053
50,2190.87,0.56649,0.44368,0.99023,0.94642,0.91222,0.97675,0.84054,0.55918,0.49904,0.9382,0.000572054,0.000572054,0.000572054
51,2237.5,0.59216,0.46641,1.01992,0.96897,0.92019,0.97081,0.82377,0.60038,0.52329,0.97222,0.000561055,0.000561055,0.000561055
52,2281.03,0.61224,0.46891,1.02622,0.94824,0.9061,0.96018,0.82763,0.57614,0.52366,0.96599,0.000550056,0.000550056,0.000550056
53,2324.25,0.58389,0.45608,1.00404,0.93776,0.91963,0.96628,0.83758,0.55457,0.48916,0.94353,0.000539057,0.000539057,0.000539057
54,2366.79,0.58664,0.45592,1.02161,0.92056,0.94836,0.97125,0.84719,0.54027,0.48886,0.9362,0.000528058,0.000528058,0.000528058
55,2409.14,0.60801,0.45551,1.03942,0.95244,0.93427,0.97497,0.8535,0.53722,0.48035,0.92604,0.000517059,0.000517059,0.000517059
56,2451.62,0.60667,0.46314,1.0336,0.95725,0.92958,0.97764,0.84464,0.53886,0.4769,0.93307,0.00050606,0.00050606,0.00050606
